sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
1101,True,0.4105,0.9861,0.6983,628,385,517,64006,0.5485,0.994,0.6199,0.5485,0.582
1102,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1103,True,0.8842,0.9997,0.9419,168,21,1,65346,0.9941,0.9997,0.8889,0.9941,0.9385
1104,True,0.789,0.9975,0.8932,617,99,66,64754,0.9034,0.9985,0.8617,0.9034,0.8821
1105,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1106,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1107,False,0.0,0.9998,0.4999,0,11,0,65525,N/A,0.9998,0.0,N/A,0.0
1108,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1109,True,0.7946,0.9989,0.8968,267,2,67,65200,0.7994,1.0,0.9926,0.7994,0.8856
1110,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1111,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1112,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1113,True,0.4833,0.9974,0.7403,159,22,148,65207,0.5179,0.9997,0.8785,0.5179,0.6516
1114,True,0.0,0.9978,0.4989,0,10,132,65394,0.0,0.9998,0.0,0.0,0.0
1115,True,0.0,0.9975,0.4988,0,100,61,65375,0.0,0.9985,0.0,0.0,0.0
1116,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1117,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1118,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1119,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1120,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1121,True,0.2152,0.9941,0.6047,105,189,194,65048,0.3512,0.9971,0.3571,0.3512,0.3541
1122,True,0.0,0.9916,0.4958,0,0,551,64985,0.0,1.0,N/A,0.0,0.0
1123,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1124,True,0.0,0.9858,0.4929,0,86,846,64604,0.0,0.9987,0.0,0.0,0.0
1125,True,0.6199,0.9983,0.8091,181,88,23,65244,0.8873,0.9987,0.6729,0.8873,0.7653
1126,True,0.8798,0.9995,0.9397,227,26,5,65278,0.9784,0.9996,0.8972,0.9784,0.9361
1127,True,0.6456,0.9957,0.8206,510,258,22,64746,0.9586,0.996,0.6641,0.9586,0.7846
1128,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1129,True,0.8605,0.9997,0.9301,111,4,14,65407,0.888,0.9999,0.9652,0.888,0.925
1130,True,0.6429,0.9926,0.8177,864,480,0,64192,1.0,0.9926,0.6429,1.0,0.7826
1131,True,0.709,0.9926,0.8508,1155,46,428,63907,0.7296,0.9993,0.9617,0.7296,0.8297
1132,True,0.847,0.9972,0.9221,991,27,152,64366,0.867,0.9996,0.9735,0.867,0.9172
1133,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
